event_id,user_id,event_name,timestamp
EVT0000001,USR00001,1_Download_App,2026-04-09 21:05:00
EVT0000002,USR00001,2_Input_OTP,2026-04-09 21:10:00
EVT0000003,USR00001,3_Scan_CCCD,2026-04-09 21:13:00
EVT0000004,USR00001,4_Face_Matching,2026-04-09 21:14:00
EVT0000005,USR00001,5_Account_Created,2026-04-09 21:17:00
EVT0000006,USR00002,1_Download_App,2026-05-19 15:42:00
EVT0000007,USR00002,2_Input_OTP,2026-05-19 15:47:00
EVT0000008,USR00003,1_Download_App,2026-03-02 16:26:00
EVT0000009,USR00003,2_Input_OTP,2026-03-02 16:28:00
EVT0000010,USR00003,3_Scan_CCCD,2026-03-02 16:29:00
EVT0000011,USR00003,4_Face_Matching,2026-03-02 16:34:00
EVT0000012,USR00003,5_Account_Created,2026-03-02 16:35:00
EVT0000013,USR00004,1_Download_App,2026-02-03 19:11:00
EVT0000014,USR00004,2_Input_OTP,2026-02-03 19:14:00
EVT0000015,USR00004,3_Scan_CCCD,2026-02-03 19:19:00
EVT0000016,USR00005,1_Download_App,2026-03-08 16:38:00
EVT0000017,USR00005,2_Input_OTP,2026-03-08 16:40:00
EVT0000018,USR00005,3_Scan_CCCD,2026-03-08 16:42:00
EVT0000019,USR00005,4_Face_Matching,2026-03-08 16:46:00
EVT0000020,USR00005,5_Account_Created,2026-03-08 16:49:00
EVT0000021,USR00006,1_Download_App,2026-03-09 12:54:00
EVT0000022,USR00006,2_Input_OTP,2026-03-09 12:57:00
EVT0000023,USR00006,3_Scan_CCCD,2026-03-09 13:02:00
EVT0000024,USR00006,4_Face_Matching,2026-03-09 13:04:00
EVT0000025,USR00006,5_Account_Created,2026-03-09 13:06:00
EVT0000026,USR00007,1_Download_App,2026-05-31 19:10:00
EVT0000027,USR00007,2_Input_OTP,2026-05-31 19:13:00
EVT0000028,USR00007,3_Scan_CCCD,2026-05-31 19:16:00
EVT0000029,USR00007,4_Face_Matching,2026-05-31 19:17:00
EVT0000030,USR00007,5_Account_Created,2026-05-31 19:22:00
EVT0000031,USR00008,1_Download_App,2026-05-28 15:33:00
EVT0000032,USR00008,2_Input_OTP,2026-05-28 15:38:00
EVT0000033,USR00008,3_Scan_CCCD,2026-05-28 15:43:00
EVT0000034,USR00008,4_Face_Matching,2026-05-28 15:44:00
EVT0000035,USR00008,5_Account_Created,2026-05-28 15:49:00
EVT0000036,USR00009,1_Download_App,2026-05-02 09:38:00
EVT0000037,USR00009,2_Input_OTP,2026-05-02 09:42:00
EVT0000038,USR00009,3_Scan_CCCD,2026-05-02 09:43:00
EVT0000039,USR00009,4_Face_Matching,2026-05-02 09:45:00
EVT0000040,USR00009,5_Account_Created,2026-05-02 09:49:00
EVT0000041,USR00010,1_Download_App,2026-01-08 07:54:00
EVT0000042,USR00010,2_Input_OTP,2026-01-08 07:58:00
EVT0000043,USR00010,3_Scan_CCCD,2026-01-08 08:02:00
EVT0000044,USR00010,4_Face_Matching,2026-01-08 08:07:00
EVT0000045,USR00011,1_Download_App,2026-02-08 12:28:00
EVT0000046,USR00011,2_Input_OTP,2026-02-08 12:30:00
EVT0000047,USR00012,1_Download_App,2026-01-30 17:32:00
EVT0000048,USR00012,2_Input_OTP,2026-01-30 17:33:00
EVT0000049,USR00012,3_Scan_CCCD,2026-01-30 17:34:00
EVT0000050,USR00012,4_Face_Matching,2026-01-30 17:35:00
EVT0000051,USR00013,1_Download_App,2026-05-08 19:16:00
EVT0000052,USR00013,2_Input_OTP,2026-05-08 19:21:00
EVT0000053,USR00013,3_Scan_CCCD,2026-05-08 19:26:00
EVT0000054,USR00013,4_Face_Matching,2026-05-08 19:29:00
EVT0000055,USR00013,5_Account_Created,2026-05-08 19:32:00
EVT0000056,USR00014,1_Download_App,2026-01-06 16:57:00
EVT0000057,USR00014,2_Input_OTP,2026-01-06 17:02:00
EVT0000058,USR00014,3_Scan_CCCD,2026-01-06 17:06:00
EVT0000059,USR00014,4_Face_Matching,2026-01-06 17:11:00
EVT0000060,USR00014,5_Account_Created,2026-01-06 17:14:00
EVT0000061,USR00015,1_Download_App,2026-01-23 15:57:00
EVT0000062,USR00015,2_Input_OTP,2026-01-23 16:02:00
EVT0000063,USR00015,3_Scan_CCCD,2026-01-23 16:07:00
EVT0000064,USR00015,4_Face_Matching,2026-01-23 16:08:00
EVT0000065,USR00015,5_Account_Created,2026-01-23 16:11:00
EVT0000066,USR00016,1_Download_App,2026-03-20 20:41:00
EVT0000067,USR00016,2_Input_OTP,2026-03-20 20:44:00
EVT0000068,USR00016,3_Scan_CCCD,2026-03-20 20:46:00
EVT0000069,USR00016,4_Face_Matching,2026-03-20 20:51:00
EVT0000070,USR00016,5_Account_Created,2026-03-20 20:53:00
EVT0000071,USR00017,1_Download_App,2026-05-23 12:22:00
EVT0000072,USR00017,2_Input_OTP,2026-05-23 12:26:00
EVT0000073,USR00017,3_Scan_CCCD,2026-05-23 12:31:00
EVT0000074,USR00017,4_Face_Matching,2026-05-23 12:36:00
